tt5220122	2018	美國	6.3	6.7	尖叫旅社3：怪獸假期	Hotel Transylvania 3：Summer Vacation	精靈旅社3：瘋狂假期／鬼靈精怪大酒店3：怪獸旅行團(港)	喜劇|動畫|奇幻	tt5220122	db_26630714	Movie\2018\[2018][美]尖叫旅社3：怪獸假期 Hotel Transylvania 3：Summer Vacation(喜劇_動畫_奇幻)(6.3)(tt5220122)
tt5463162	2018	美國	7.8	7.3	死侍2：我愛我家	Deadpool 2	DP2／Once Upon a Deadpool／死侍2／死侍2：童話篇／死侍往事	喜劇|動作|科幻|冒險	tt5463162	db_26588308	Movie\2018\[2018][美]死侍2：我愛我家 Deadpool 2(喜劇_動作_科幻_冒險)(7.8)(tt5463162)
tt2837574	2018	美國	6.8	7.0	老人和槍	The Old Man and the Gun	老人與槍	劇情|喜劇|犯罪	tt2837574	db_24299053	Movie\2018\[2018][美]老人和槍 The Old Man and the Gun(劇情_喜劇_犯罪)(6.8)(tt2837574)
tt1590193	2018	美國	6.3	6.6	疾速救援	The Commuter	通勤營救／追命列車(港)	動作|驚悚|犯罪	tt1590193	db_7056414	Movie\2018\[2018][美]疾速救援 The Commuter(動作_驚悚_犯罪)(6.3)(tt1590193)
tt6772950	2018	美國	5.1	6.0	真心話大冒險	Truth or Dare	死神遊戲：TRUTH OR DARE(港)	驚悚|恐怖	tt6772950	db_26998315	Movie\2018\[2018][美]真心話大冒險 Truth or Dare(驚悚_恐怖)(5.1)(tt6772950)
tt5814060	2018	美國	5.4	5.9	鬼修女	The Nun	修女／Valak／招魂外傳／詭修女(港)	懸疑|驚悚|恐怖	tt5814060	db_26825664	Movie\2018\[2018][美]鬼修女 The Nun(懸疑_驚悚_恐怖)(5.4)(tt5814060)
tt4500922	2018	美國	6.2	5.3	移動迷宮3：死亡解藥	Maze Runner：The Death Cure	The Death Cure／死亡解藥／移動迷宮3	動作|科幻|冒險	tt4500922	db_26004132	Movie\2018\[2018][美]移動迷宮3：死亡解藥 Maze Runner：The Death Cure(動作_科幻_冒險)(6.2)(tt4500922)
tt2160105	2018	美國	5.7	6.4	陰魂未散	I Still See You	千次傷我心／Break My Heart 1000 Times／靈渡凶間(港)	驚悚|奇幻	tt2160105	db_26377050	Movie\2018\[2018][美]陰魂未散 I Still See You(驚悚_奇幻)(5.7)(tt2160105)
tt5848272	2018	美國	7.1	8.1	無敵破壞王2：網路大暴走	Ralph Breaks the Internet	無敵破壞王2：大鬧網際網路／Wreck-It Ralph 2／無敵破壞王2／無敵破壞王2：打爆網際網路(港)／無敵破壞王2：破壞王大鬧網際網路	喜劇|動畫|奇幻|冒險	tt5848272	db_20438964	Movie\2018\[2018][美]無敵破壞王2：網路大暴走 Ralph Breaks the Internet(喜劇_動畫_奇幻_冒險)(7.1)(tt5848272)
tt3606756	2018	美國	7.7	7.9	超人特攻隊2	Incredibles 2	超人總動員2／超人家族2／超人特工隊2(港)	喜劇|動作|動畫|冒險	tt3606756	db_25849049	Movie\2018\[2018][美]超人特攻隊2 Incredibles 2(喜劇_動作_動畫_冒險)(7.7)(tt3606756)
tt4073790	2018	美國	5.7	5.2	黑暗心靈	The Darkest Minds	暗黑之心(港/臺)／暗黑之心(港／臺)	科幻|驚悚	tt4073790	db_26288143	Movie\2018\[2018][美]黑暗心靈 The Darkest Minds(科幻_驚悚)(5.7)(tt4073790)
tt4244998	2018	美國	6.7	6.5	極地之王	Alpha	阿爾法：狼伴歸途／The Solutrean／阿爾法／馴狼紀(港)	劇情|冒險	tt4244998	db_26810318	Movie\2018\[2018][美]極地之王 Alpha(劇情_冒險)(6.7)(tt4244998)
tt3104988	2018	美國	7.0	6.1	瘋狂亞洲富豪	Crazy Rich Asians	摘金奇緣／人瘋錢多亞洲豪／我的超豪男友(港)／瘋狂富豪(新)／瘋狂的亞洲富人／瘋狂的亞洲富豪	喜劇|愛情	tt3104988	db_26786642	Movie\2018\[2018][美]瘋狂亞洲富豪 Crazy Rich Asians(喜劇_愛情)(7.0)(tt3104988)
